user_id,item_id,score
[6.74794844e-01 1.49593790e-01 1.28671436e+03]
[4.65072811e-02 5.60975523e-01 1.28514364e+03]
[9.51940771e-01 6.18120992e-01 1.28740722e+03]
[8.18736584e-01 7.98075046e-01 1.28707421e+03]
[4.79663131e-01 5.08912619e-01 1.28622653e+03]
[4.88955616e-01 3.01645048e-01 1.28624976e+03]
[8.54629733e-01 4.91381559e-01 1.28716394e+03]
[4.58807638e-01 2.86868711e-01 1.28617439e+03]
[7.51996966e-02 1.28765062e-01 1.28521537e+03]
[8.74723918e-01 1.55552329e-01 1.28721418e+03]
[9.00656953e-01 8.97911201e-01 1.28727901e+03]
[3.07392494e-01 9.81849402e-01 1.28579585e+03]
[5.23355087e-01 4.05529705e-01 1.28633576e+03]
[4.94668407e-01 7.13551593e-01 1.28626404e+03]
[9.17948188e-01 5.37584462e-01 1.28732224e+03]
[4.91572086e-02 5.63041627e-01 1.28515026e+03]
[3.39538677e-01 3.18971681e-01 1.28587622e+03]
[2.00273342e-01 6.05931911e-01 1.28552805e+03]
[1.51748487e-01 5.37974241e-01 1.28540674e+03]
[8.62334781e-01 1.26026402e-01 1.28718321e+03]
[8.97678603e-01 7.83548210e-01 1.28727157e+03]
[7.31622466e-01 6.42274736e-01 1.28685643e+03]
[2.16859415e-01 4.95764327e-02 1.28556952e+03]
[7.21495384e-01 1.17156282e-02 1.28683111e+03]
[7.14833871e-01 1.95171387e-01 1.28681445e+03]
[8.80086370e-01 8.28022191e-01 1.28722759e+03]
[9.32770517e-01 9.35051705e-01 1.28735930e+03]
[4.83591020e-01 5.02005967e-01 1.28623635e+03]
[4.21650763e-01 1.41112710e-01 1.28608150e+03]
[3.34062905e-01 5.73323491e-01 1.28586253e+03]
[3.90255790e-01 7.31865718e-02 1.28600301e+03]
[6.38573983e-01 1.01136280e-01 1.28662381e+03]
[6.57888440e-01 2.85869597e-01 1.28667209e+03]
[7.80576527e-02 5.45656339e-01 1.28522251e+03]
[3.48503885e-01 1.84827474e-01 1.28589863e+03]
[9.33530464e-01 4.40456759e-01 1.28736120e+03]
[5.87890172e-01 9.86484693e-01 1.28649710e+03]
[8.67802676e-01 3.73150342e-01 1.28719688e+03]
[7.08415323e-01 4.81068734e-01 1.28679841e+03]
[2.75413950e-01 9.18984847e-01 1.28571591e+03]
[1.99180407e-02 2.67375758e-01 1.28507717e+03]
[1.97129422e-01 9.76514342e-01 1.28552019e+03]
